High Schools,Projected Enrollment,Grant Budget,Non-Grant Budget,Total Budget
Ballard,1499,356692,15848789,16205481
Center School,233,62164,3008655,3070819
Chief Sealth Intl.,1061,1271625,14225273,15496898
Cleveland STEM,799,1227298,8642685,9869983
Franklin,1066,1196929,12977367,14174296
Garfield,1417,225520,14019198,14244718
Ingraham,1299,224692,15471396,15696088
Lincoln,1680,213341,15470706,15684047
Nathan Hale,1013,219430,12224572,12444002
Rainier Beach,706,1549882,9497273,11047155
Roosevelt,1428,162953,14746220,14909173
West Seattle,1260,219430,13420894,13640324
